HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 410
|PRIMER PREMIO 06857 ||| SEGUNDO PREMIO 12146 ||| TERCER PREMIO 31837|
REINTEGROS 7,6 ,7
FECHA DEL SORTEO: 11/04/2026 --- FECHA DE CADUCIDAD: 12/10/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
12177 CDR .... 1,300.00
12178 C .... 1,000.00
12179 C .... 1,000.00
12180 C .... 1,000.00
12181 C .... 1,000.00
12182 C .... 1,000.00
12183 C .... 1,000.00
12184 C .... 1,000.00
12185 C .... 1,000.00
12186 CR .... 1,150.00
12187 CDR .... 1,300.00
12188 C .... 1,000.00
12189 C .... 1,000.00
12190 C .... 1,000.00
12191 C .... 1,000.00
12192 C .... 1,000.00
12193 C .... 1,000.00
12194 C .... 1,000.00
12195 C .... 1,000.00
12196 CR .... 1,150.00
12197 CDR .... 1,300.00
12198 C .... 1,000.00
12199 C .... 1,000.00
12200 C .... 1,000.00
12257 DTR .... 750.00
12357 DTR .... 750.00
12442 P .... 1,200.00
12457 DTR .... 750.00
12557 DTR .... 750.00
12657 DTR .... 750.00
12692 P .... 600.00
12757 DTR .... 750.00
12826 PR .... 750.00
12837 TTR .... 1,050.00
12857 TTR .... 1,350.00
12957 DTR .... 750.00
12973 P .... 1,300.00

TRECE MIL
13015 P .... 600.00
13057 DTR .... 750.00
13092 P .... 8,000.00
VENDIDO POR JULIO ROBERTO CATÚ GONZALEZ, DE ESTA CAPITAL
13146 TT .... 1,000.00
13157 DTR .... 750.00
13163 P .... 800.00
13193 P .... 1,200.00
13257 DTR .... 750.00
13357 DTR .... 750.00
13457 DTR .... 750.00
13535 P .... 800.00
13557 DTR .... 750.00
13657 DTR .... 750.00
13757 DTR .... 750.00
13837 TTR .... 1,050.00
13857 TTR .... 1,350.00
13893 P .... 800.00
13957 DTR .... 750.00

CATORCE MIL
14057 DTR .... 750.00
14146 TT .... 1,000.00
14157 DTR .... 750.00
14236 PR .... 1,350.00
14257 DTR .... 750.00
14357 DTR .... 750.00
14457 DTR .... 750.00
14557 DTR .... 750.00
14657 DTR .... 750.00
14718 P .... 1,300.00
14719 P .... 600.00
14757 DTR .... 750.00
14793 P .... 800.00
14837 TTR .... 1,050.00
14857 TTR .... 1,350.00
14957 DTR .... 750.00
14993 P .... 800.00

QUINCE MIL
15036 PR .... 5,150.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL RAÚL SAGASTUME OSORIO, DE ESTA CAPITAL
15057 DTR .... 750.00
15146 TT .... 1,000.00
15157 DTR .... 750.00
15244 P .... 1,200.00
15257 DTR .... 750.00
15328 P .... 600.00
15357 DTR .... 750.00
15457 DTR .... 750.00
15557 DTR .... 750.00
15605 P .... 1,300.00
15657 DTR .... 750.00
15757 DTR .... 750.00
15837 TTR .... 1,050.00
15857 TTR .... 1,350.00
15957 DTR .... 750.00
15991 P .... 1,200.00

DIECISEIS MIL
16057 DTR .... 750.00
16146 TT .... 1,000.00
16157 PDTR .... 1,350.00
16159 P .... 600.00
16257 DTR .... 750.00
16357 DTR .... 750.00
16457 DTR .... 750.00
16557 DTR .... 750.00
16567 PDR .... 1,600.00
16657 DTR .... 750.00
16692 P .... 600.00
16757 DTR .... 750.00
16762 P .... 800.00
16837 TTR .... 1,050.00
16857 TTR .... 1,350.00
16885 P .... 5,000.00
VENDIDO POR GABRIEL MORALES IGÜIT, DE ESTA CAPITAL
16957 DTR .... 750.00

DIECISIETE MIL
17057 DTR .... 750.00
17146 TT .... 1,000.00
17157 DTR .... 750.00
17198 P .... 15,000.00
VENDIDO POR ISAIAS RAMIREZ MAZARIEGOS, DE COATEPEQUE, QUETZALTENANGO
17257 DTR .... 750.00
17357 DTR .... 750.00
17365 P .... 1,200.00
17427 PDR .... 1,100.00
17457 DTR .... 750.00
17483 P .... 600.00
17557 DTR .... 750.00
17573 P .... 1,200.00
17657 DTR .... 750.00
17757 DTR .... 750.00
17837 TTR .... 1,050.00
17857 TTR .... 1,350.00
17933 P .... 1,300.00
17951 P .... 600.00
17957 DTR .... 750.00

DIECIOCHO MIL
18057 DTR .... 750.00
18146 TT .... 1,000.00
18157 DTR .... 750.00
18257 DTR .... 750.00
18357 DTR .... 750.00
18452 P .... 1,300.00
18457 DTR .... 750.00
18557 DTR .... 750.00
18639 P .... 800.00
18657 DTR .... 750.00
18757 DTR .... 750.00
18761 P .... 2,000.00
VENDIDO POR SANTOS MARIANO REYNOSO HERNÁNDEZ, DE ESTA CAPITAL
18837 TTR .... 1,050.00
18857 TTR .... 1,350.00
18956 PR .... 750.00
18957 DTR .... 750.00

DIECINUEVE MIL
19057 DTR .... 750.00
19146 TT .... 1,000.00
19157 DTR .... 750.00
19227 PDR .... 1,500.00
19257 DTR .... 750.00
19331 P .... 800.00
19357 DTR .... 750.00
19422 P .... 1,300.00
19457 DTR .... 750.00
19474 P .... 1,300.00
19488 P .... 1,200.00
19557 DTR .... 750.00
19657 DTR .... 750.00
19722 P .... 600.00
19757 DTR .... 750.00
19837 TTR .... 1,050.00
19857 TTR .... 1,350.00
19957 DTR .... 750.00

VEINTE MIL
20031 P .... 800.00
20057 DTR .... 750.00
20146 TT .... 1,000.00
20157 DTR .... 750.00
20257 DTR .... 750.00
20355 P .... 2,000.00
VENDIDO POR MIRIAM LISBETH FUENTES LÓPEZ, DE SAN PEDRO SACATEPÉQUEZ, SAN MARCOS
20357 DTR .... 750.00
20457 DTR .... 750.00
20557 DTR .... 750.00
20637 PDR .... 900.00
20657 DTR .... 750.00
20757 DTR .... 750.00
20837 TTR .... 1,050.00
20857 TTR .... 1,350.00
20957 DTR .... 750.00

VEINTIUN MIL
21057 DTR .... 750.00
21146 TT .... 1,000.00
21157 DTR .... 750.00
21257 DTR .... 750.00
21339 P .... 5,000.00
VENDIDO POR ISAIAS RAMIREZ MAZARIEGOS, DE COATEPEQUE, QUETZALTENANGO
21357 DTR .... 750.00
21388 P .... 1,200.00
21397 PDR .... 1,100.00
21457 DTR .... 750.00
21557 DTR .... 750.00
21568 P .... 600.00
21657 DTR .... 750.00
21757 DTR .... 750.00
21837 TTR .... 1,050.00
21857 TTR .... 1,350.00
21935 P .... 1,200.00
21957 DTR .... 750.00

VEINTIDOS MIL
22057 DTR .... 750.00
22146 TT .... 1,000.00
22157 DTR .... 750.00
22257 DTR .... 750.00
22291 P .... 800.00
22357 DTR .... 750.00
22457 DTR .... 750.00
22547 PDR .... 5,300.00
VENDIDO POR ESTELA ELIZABETH GÓMEZ HERRERA, DE ESTA CAPITAL
22557 DTR .... 750.00
22657 DTR .... 750.00
22757 DTR .... 750.00
22837 TTR .... 1,050.00
22857 TTR .... 1,350.00
22957 DTR .... 750.00

VEINTITRES MIL
23057 DTR .... 750.00
23146 TT .... 1,000.00
23157 DTR .... 750.00
23257 DTR .... 750.00
23357 DTR .... 750.00
23457 DTR .... 750.00
23489 P .... 1,300.00
23557 DTR .... 750.00
23647 PDR .... 900.00
23657 DTR .... 750.00
23714 P .... 600.00
23746 PR .... 1,350.00
23757 DTR .... 750.00
23837 TTR .... 1,050.00
23857 TTR .... 1,350.00
23957 DTR .... 750.00

VEINTICUATRO MIL
24041 P .... 800.00
24054 P .... 800.00
24057 DTR .... 750.00
24146 TT .... 1,000.00
24157 DTR .... 750.00
24230 P .... 600.00
24257 DTR .... 750.00
24299 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL OSCAR HUMBERTO MENDOZA RUÍZ, DE ESTA CAPITAL
24330 P .... 600.00
24357 DTR .... 750.00
24457 DTR .... 750.00
24557 DTR .... 750.00
24579 P .... 1,200.00
24657 DTR .... 750.00
24757 DTR .... 750.00
24837 TTR .... 1,050.00
24857 TTR .... 1,350.00
24957 DTR .... 750.00

VEINTICINCO MIL
25057 DTR .... 750.00
25146 TT .... 1,000.00
25157 DTR .... 750.00
25202 P .... 800.00
25257 DTR .... 750.00
25357 DTR .... 750.00
25457 DTR .... 750.00
25557 DTR .... 750.00
25656 PR .... 1,350.00
25657 DTR .... 750.00
25701 P .... 800.00
25757 DTR .... 750.00
25837 TTR .... 1,050.00
25857 TTR .... 1,350.00
25862 P .... 800.00
25957 DTR .... 750.00
25970 P .... 1,200.00

VEINTISEIS MIL
26057 DTR .... 750.00
26105 P .... 800.00
26140 P .... 600.00
26146 TT .... 1,000.00
26157 DTR .... 750.00
26222 P .... 1,300.00
26257 DTR .... 750.00
26331 P .... 800.00
26357 DTR .... 750.00
26457 DTR .... 750.00
26555 P .... 600.00
26557 DTR .... 750.00
26657 DTR .... 750.00
26757 DTR .... 750.00
26837 TTR .... 1,050.00
26857 TTR .... 1,350.00
26904 P .... 800.00
26957 DTR .... 750.00

VEINTISIETE MIL
27057 DTR .... 750.00
27081 P .... 5,000.00
VENDIDO POR CARLOS FERNANDO AGUARE YAT, DE ANTIGUA GUATEMALA, SACATEPÉQUEZ
27146 TT .... 1,000.00
27157 DTR .... 750.00
27257 DTR .... 750.00
27357 DTR .... 750.00
27442 P .... 800.00
27457 DTR .... 750.00
27557 DTR .... 750.00
27657 DTR .... 750.00
27757 DTR .... 750.00
27783 P .... 5,000.00
VENDIDO POR VILMA NINETT DOMINGUEZ MORALES, DE ESTA CAPITAL
27837 TTR .... 1,050.00
27857 TTR .... 1,350.00
27860 P .... 800.00
27951 P .... 1,200.00
27957 DTR .... 750.00

VEINTIOCHO MIL
28024 P .... 800.00
28050 P .... 800.00
28057 DTR .... 750.00
28146 TT .... 1,000.00
28157 DTR .... 750.00
28248 P .... 600.00
28257 DTR .... 750.00
28348 P .... 800.00
28357 DTR .... 750.00
28457 DTR .... 750.00
28557 DTR .... 750.00
28657 DTR .... 750.00
28711 P .... 5,000.00
VENDIDO POR MANUEL ROLANDO QUINILLA CHIVALAM, DE ANTIGUA GUATEMALA, SACATEPÉQUEZ
28757 DTR .... 750.00
28837 TTR .... 1,050.00
28857 TTR .... 1,350.00
28957 DTR .... 750.00

VEINTINUEVE MIL
29038 P .... 1,300.00
29057 DTR .... 750.00
29146 TT .... 1,000.00
29157 DTR .... 750.00
29257 DTR .... 750.00
29357 DTR .... 750.00
29457 DTR .... 750.00
29557 DTR .... 750.00
29607 PDR .... 5,300.00
VENDIDO POR JOSÉ ESTHARLIN SOSA CABRERA, DE ESTA CAPITAL
29657 DTR .... 750.00
29757 DTR .... 750.00
29837 TTR .... 1,050.00
29857 TTR .... 1,350.00
29957 DTR .... 750.00
29967 PDR .... 5,300.00
VENDIDO POR AURA VIOLETA LEPE LÓPEZ, DE SANTA CATARINA PINULA, GUATEMALA

TREINTA MIL
30057 DTR .... 750.00
30146 TT .... 1,000.00
30157 DTR .... 750.00
30195 P .... 800.00
30257 DTR .... 750.00
30357 DTR .... 750.00
30453 P .... 600.00
30457 DTR .... 750.00
30557 DTR .... 750.00
30657 DTR .... 750.00
30757 DTR .... 750.00
30812 P .... 600.00
30837 TTR .... 1,050.00
30857 TTR .... 1,350.00
30957 DTR .... 750.00
30991 P .... 2,000.00
VENDIDO POR MAYRA LORENA CIRAIZ BERDUO DE CRUZ, DE ESTA CAPITAL

TREINTA Y UN MIL
31057 DTR .... 750.00
31080 P .... 800.00
31146 TT .... 1,000.00
