HEADER
LISTA DEL SORTEO ORDINARIO NO. 3085
|PRIMER PREMIO 36568 ||| SEGUNDO PREMIO 71693 ||| TERCER PREMIO 02141|
REINTEGROS 8,3 ,1
FECHA DEL SORTEO: 31/05/2025 --- FECHA DE CADUCIDAD: 01/12/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
41141 TT .... 500.00
41158 PR .... 1,070.00
41565 P .... 600.00
41568 TT .... 700.00
41693 TT .... 600.00
41896 P .... 700.00
41926 P .... 700.00

CUARENTA Y DOS MIL
42141 TT .... 500.00
42381 PR .... 670.00
42500 P .... 1,000.00
42518 PR .... 770.00
42568 TT .... 700.00
42613 PR .... 770.00
42693 TT .... 600.00

CUARENTA Y TRES MIL
43141 TT .... 500.00
43273 PR .... 2,070.00
VENDIDO POR JUAN JOSÉ FRANCO MENDEZ, DE GUASTATOYA, EL PROGRESO
43455 P .... 2,000.00
VENDIDO POR ANGELINA TUT DE CACAO, DE COBÁN, ALTA VERAPÁZ
43568 TT .... 700.00
43685 P .... 1,000.00
43693 TT .... 600.00

CUARENTA Y CUATRO MIL
44141 TT .... 500.00
44179 P .... 600.00
44568 TT .... 700.00
44600 P .... 600.00
44625 P .... 600.00
44693 TT .... 600.00

CUARENTA Y CINCO MIL
45067 P .... 700.00
45089 P .... 700.00
45103 PR .... 1,070.00
45141 TT .... 500.00
45439 P .... 1,000.00
45568 TT .... 700.00
45669 P .... 600.00
45693 TT .... 600.00
45710 P .... 700.00
45743 PR .... 2,070.00
VENDIDO POR JOSÉ ESTUARDO TZUN REYNOSO, DE VILLA NUEVA, GUATEMALA
45767 P .... 1,000.00
45921 PR .... 670.00

CUARENTA Y SEIS MIL
46043 PR .... 2,070.00
VENDIDO POR ERIK ALEJANDRO ORTIZ MORALES, DE ESTA CAPITAL
46069 P .... 1,000.00
46080 P .... 3,000.00
VENDIDO POR MARICELA ESPERANZA HERRERA GUZMÁN, DE ESTA CAPITAL
46141 TT .... 500.00
46273 PR .... 770.00
46332 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL AURA MARINA AGUILAR LÓPEZ, DE MIXCO, GUATEMALA
46400 P .... 1,000.00
46448 PR .... 670.00
46456 P .... 2,000.00
VENDIDO POR ROSELIA MAGDALENA TÉMAJ MELENDEZ, DE CHIQUIMULA, CHIQUIMULA
46568 TT .... 700.00
46613 PR .... 770.00
46621 PR .... 670.00
46693 TT .... 600.00
46929 P .... 2,000.00
VENDIDO POR BORIS GUILLERMO GONZÁLEZ AGUILAR, DE MAZATENANGO, SUCHITEPÉQUEZ

CUARENTA Y SIETE MIL
47141 TT .... 500.00
47374 P .... 600.00
47538 PR .... 2,570.00
VENDIDO POR GLADYS EVERILDA BOBADILLA DE RAMIREZ, DE ESTA CAPITAL
47568 TT .... 700.00
47693 TT .... 600.00
47860 P .... 1,000.00
47928 PR .... 670.00

CUARENTA Y OCHO MIL
48042 P .... 600.00
48141 TT .... 500.00
48415 P .... 600.00
48568 TT .... 700.00
48693 TT .... 600.00
48698 PR .... 770.00
48880 P .... 700.00

CUARENTA Y NUEVE MIL
49130 P .... 3,000.00
VENDIDO POR BALTAZAR IMUL PÚ, DE ESTA CAPITAL
49141 TT .... 500.00
49568 TT .... 700.00
49693 TT .... 600.00
49733 PR .... 1,070.00
49826 P .... 3,000.00
VENDIDO POR ISABEL LUX US, DE ESTA CAPITAL
49921 PR .... 670.00
49955 P .... 1,000.00

CINCUENTA MIL
50112 P .... 700.00
50141 TT .... 500.00
50559 P .... 600.00
50568 TT .... 700.00
50693 TT .... 600.00

CINCUENTA Y UN MIL
51135 P .... 600.00
51141 TT .... 500.00
51459 P .... 600.00
51568 TT .... 700.00
51604 P .... 700.00
51672 P .... 600.00
51693 TT .... 600.00

CINCUENTA Y DOS MIL
52051 PR .... 1,070.00
52141 TT .... 500.00
52156 P .... 5,000.00
VENDIDO POR EULALIA PABLO MATEO, DE SANTA CRUZ DEL QUICHÉ, QUICHÉ
52172 P .... 700.00
52477 P .... 600.00
52540 P .... 1,000.00
52552 P .... 2,000.00
VENDIDO POR JACKLIN VANESSA VILLATORO DE ALVARADO, DE ESTA CAPITAL
52568 TT .... 700.00
52693 TT .... 600.00

CINCUENTA Y TRES MIL
53062 P .... 2,000.00
VENDIDO POR FABIAN CHIC CHIPEL, DE ESTA CAPITAL
53141 TT .... 500.00
53328 PR .... 1,070.00
53354 P .... 2,000.00
VENDIDO POR FRANCISCO IMÚL US, DE CHIMALTENANGO, CHIMALTENANGO
53391 PR .... 770.00
53568 TT .... 700.00
53693 TT .... 600.00
53749 P .... 1,000.00
53785 P .... 600.00

CINCUENTA Y CUATRO MIL
54072 P .... 1,000.00
54141 TT .... 500.00
54142 P .... 2,000.00
VENDIDO POR SILVERIA MARCELINA TAX SOLIS DE GARCÍA, DE TOTONICAPÁN, TOTONICAPÁN
54202 P .... 700.00
54312 P .... 2,000.00
VENDIDO POR JULIO CESAR MOTA TARACENA, DE ESTA CAPITAL
54531 PR .... 770.00
54568 TT .... 700.00
54593 PR .... 670.00
54693 TT .... 600.00

CINCUENTA Y CINCO MIL
55141 TT .... 500.00
55282 P .... 1,000.00
55568 TT .... 700.00
55693 TT .... 600.00
55786 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL DAMIAN ISMALEJ IBOY, DE SAN JERÓNIMO, BAJA VERAPÁZ

CINCUENTA Y SEIS MIL
56141 TT .... 500.00
56187 P .... 700.00
56321 PR .... 670.00
56365 P .... 600.00
56568 TT .... 700.00
56597 P .... 600.00
56693 TT .... 600.00
56767 P .... 600.00

CINCUENTA Y SIETE MIL
57141 TT .... 500.00
57388 PR .... 770.00
57568 TT .... 700.00
57589 P .... 600.00
57693 TT .... 600.00
57857 P .... 2,000.00
VENDIDO POR WALFRE RANDOLFO CASTILLO LÓPEZ, DE OLINTEPEQUE, QUETZALTENANGO

CINCUENTA Y OCHO MIL
58141 TT .... 500.00
58481 PR .... 5,070.00
VENDIDO POR PETRONILO REYNOSO DE LEÓN, DE ESTA CAPITAL
58561 PR .... 1,070.00
58568 TT .... 700.00
58608 PR .... 670.00
58632 P .... 2,000.00
VENDIDO POR OMAR DE JESÚS AVILA IPIÑA, DE GUALÁN, ZACAPA
58693 TT .... 600.00
58898 PR .... 5,070.00
VENDIDO POR ERIK ALEJANDRO ORTIZ MORALES, DE ESTA CAPITAL

CINCUENTA Y NUEVE MIL
59048 PR .... 1,070.00
59141 TT .... 500.00
59421 PR .... 2,070.00
NO VENDIDO
59438 PR .... 1,070.00
59568 TT .... 700.00
59688 PR .... 670.00
59693 TT .... 600.00
59719 P .... 1,000.00

SESENTA MIL
60141 TT .... 500.00
60181 PR .... 770.00
60362 P .... 600.00
60403 PR .... 770.00
60568 TT .... 700.00
60693 TT .... 600.00
60770 P .... 1,000.00

SESENTA Y UN MIL
61000 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL WALDEMAR ANTONIO ESTRADA YOS, DE SAN JOSÉ PINULA, GUATEMALA
61141 TT .... 500.00
61189 P .... 700.00
61568 TT .... 700.00
61693 TT .... 600.00
61834 P .... 3,000.00
VENDIDO POR ORLANDO REJOPACHI ARRIAZA, DE VILLA NUEVA, GUATEMALA
61877 P .... 3,000.00
VENDIDO POR LAURA GARCÍA, DE ESTA CAPITAL

SESENTA Y DOS MIL
