HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 395
|PRIMER PREMIO 55049 ||| SEGUNDO PREMIO 77155 ||| TERCER PREMIO 04765|
REINTEGROS 9,5 ,5
FECHA DEL SORTEO: 23/11/2024 --- FECHA DE CADUCIDAD: 23/05/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
33749 DT .... 600.00
33765 TTR .... 1,050.00
33849 DT .... 600.00
33949 DT .... 600.00

TREINTA Y CUATRO MIL
34049 TT .... 1,200.00
34148 P .... 5,000.00
VENDIDO POR FRANCI OTTONIEL ARDIANO MÉRIDA, DE COATEPEQUE, QUETZALTENANGO
34149 DT .... 600.00
34155 TTR .... 1,150.00
34194 P .... 5,000.00
VENDIDO POR TELEMARKETING LOTERÍA SANTA LUCÍA, DE ESTA CAPITAL
34249 DT .... 600.00
34265 PDR .... 900.00
34306 P .... 8,000.00
VENDIDO POR LÚCAS MORALES IGÜIT, DE ESTA CAPITAL
34349 DT .... 600.00
34449 DT .... 600.00
34549 DT .... 600.00
34550 P .... 1,200.00
34649 DT .... 600.00
34710 P .... 1,300.00
34749 DT .... 600.00
34760 P .... 8,000.00
VENDIDO POR JESUS ABRAHAM GUERRA VELIZ, DE SANTA LUCÍA COTZUMALGUAPA, ESCUINTLA
34765 TTR .... 1,050.00
34838 P .... 800.00
34849 DT .... 600.00
34949 DT .... 600.00

TREINTA Y CINCO MIL
35049 TT .... 1,200.00
35149 DT .... 600.00
35155 TTR .... 1,150.00
35249 DT .... 600.00
35349 DT .... 600.00
35449 DT .... 600.00
35489 PR .... 750.00
35549 DT .... 600.00
35592 P .... 600.00
35649 DT .... 600.00
35749 DT .... 600.00
35765 TTR .... 1,050.00
35800 P .... 800.00
35849 DT .... 600.00
35899 PR .... 750.00
35908 P .... 2,000.00
VENDIDO POR YECENIA MARISOL MAZARIEGOS ARREAGA, DE QUETZALTENANGO, QUETZALTENANGO
35949 DT .... 600.00

TREINTA Y SEIS MIL
36049 TT .... 1,200.00
36060 P .... 600.00
36149 DT .... 600.00
36155 TTR .... 1,150.00
36249 DT .... 600.00
36349 DT .... 600.00
36449 DT .... 600.00
36451 P .... 800.00
36549 DT .... 600.00
36649 DT .... 600.00
36749 DT .... 600.00
36761 P .... 600.00
36765 TTR .... 1,050.00
36849 DT .... 600.00
36936 P .... 600.00
36949 DT .... 600.00
36962 P .... 800.00
36999 PR .... 750.00

TREINTA Y SIETE MIL
37049 TT .... 1,200.00
37102 P .... 800.00
37149 DT .... 600.00
37155 TTR .... 1,150.00
37249 DT .... 600.00
37349 DT .... 600.00
37449 DT .... 600.00
37549 DT .... 600.00
37618 P .... 15,000.00
VENDIDO POR GUADALUPE CRISTINA PACHECO SOCH, DE ESTA CAPITAL
37649 DT .... 600.00
37749 DT .... 600.00
37765 TTR .... 1,050.00
37785 PDR .... 900.00
37788 P .... 1,200.00
37849 DT .... 600.00
37949 DT .... 600.00
37985 PDR .... 1,100.00
37992 P .... 2,000.00
VENDIDO POR TELMA FRANCISCA ENRÍQUEZ TANAHUBIA DE BARRIOS, DE RETALHULEU, RETALHULEU

TREINTA Y OCHO MIL
38049 TT .... 1,200.00
38149 DT .... 600.00
38155 TTR .... 1,150.00
38249 DT .... 600.00
38259 PR .... 750.00
38285 PDR .... 1,600.00
38349 DT .... 600.00
38449 DT .... 600.00
38549 DT .... 600.00
38627 P .... 600.00
38649 DT .... 600.00
38749 DT .... 600.00
38765 TTR .... 1,050.00
38849 DT .... 600.00
38869 PR .... 950.00
38949 DT .... 600.00

TREINTA Y NUEVE MIL
39049 TT .... 1,200.00
39149 DT .... 600.00
39155 TTR .... 1,150.00
39192 P .... 600.00
39249 DT .... 600.00
39349 DT .... 600.00
39449 DT .... 600.00
39471 P .... 800.00
39549 DT .... 600.00
39649 DT .... 600.00
39749 DT .... 600.00
39765 TTR .... 1,050.00
39782 P .... 1,200.00
39849 DT .... 600.00
39949 DT .... 600.00
39976 P .... 1,200.00

CUARENTA MIL
40049 TT .... 1,200.00
40149 DT .... 600.00
40155 TTR .... 1,150.00
40211 P .... 800.00
40249 DT .... 600.00
40349 DT .... 600.00
40449 DT .... 600.00
40549 DT .... 600.00
40578 P .... 800.00
40649 DT .... 600.00
40749 DT .... 600.00
40765 TTR .... 1,050.00
40779 PR .... 5,150.00
VENDIDO POR MATEO HUMBERTO MORALES PÉREZ, DE ESTA CAPITAL
40849 DT .... 600.00
40949 DT .... 600.00

CUARENTA Y UN MIL
41018 P .... 600.00
41049 TT .... 1,200.00
41149 DT .... 600.00
41155 TTR .... 1,150.00
41249 DT .... 600.00
41312 P .... 800.00
41349 DT .... 600.00
41431 P .... 600.00
41449 DT .... 600.00
41499 PR .... 950.00
41549 DT .... 600.00
41568 P .... 800.00
41649 DT .... 600.00
41745 PDR .... 1,100.00
41749 DT .... 600.00
41765 TTR .... 1,050.00
41849 DT .... 600.00
41933 P .... 800.00
41949 DT .... 600.00
41968 P .... 5,000.00
VENDIDO POR REINA PÉREZ MAZARIEGOS DE BARRIOS, DE ESTA CAPITAL

CUARENTA Y DOS MIL
42049 TT .... 1,200.00
42118 P .... 600.00
42149 DT .... 600.00
42155 TTR .... 1,150.00
42172 P .... 800.00
42216 P .... 1,300.00
42249 DT .... 600.00
42283 P .... 800.00
42349 DT .... 600.00
42449 DT .... 600.00
42549 DT .... 600.00
42649 DT .... 600.00
42749 DT .... 600.00
42765 TTR .... 1,050.00
42849 DT .... 600.00
42949 DT .... 600.00
42992 P .... 800.00

CUARENTA Y TRES MIL
43049 TT .... 1,200.00
43149 DT .... 600.00
43155 TTR .... 1,150.00
43235 PDR .... 1,600.00
43249 DT .... 600.00
43349 DT .... 600.00
43447 P .... 800.00
43449 DT .... 600.00
43549 DT .... 600.00
43624 P .... 1,300.00
43649 DT .... 600.00
43735 PDR .... 1,600.00
43749 DT .... 600.00
43765 TTR .... 1,050.00
43849 DT .... 600.00
43949 DT .... 600.00
43958 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL LUCIANO JULIAN VELASQUEZ PAIZ, DE MIXCO, GUATEMALA
43965 PDR .... 900.00

CUARENTA Y CUATRO MIL
44049 TT .... 1,200.00
44149 DT .... 600.00
44155 TTR .... 1,150.00
44249 DT .... 600.00
44322 P .... 2,000.00
VENDIDO POR PABLO SAJBIN VICENTE, DE MIXCO, GUATEMALA
44349 DT .... 600.00
44449 DT .... 600.00
44524 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL ENRIQUE GIRÓN OCHOA, DE ESCUINTLA, ESCUINTLA
44549 DT .... 600.00
